tabela vetores de pesos iniciais e finais
            INICIAIS                            FINAIS                      EPOCAS
    w0      w1      w2      w3          w0      w1      w2      w3
T1  0.1     0.86    0.52    0.73        -0.45   2.93    4.42    -1.37       1157
T2  0.39    0.035   0.77    0.02        -0.47   2.78    4.92    -1.36       1269
T3  0.2     0.3     0.43    0.4         -0.46   2.82    4.67    -1.33       1208
T4  0.78    0.68    0.96    0.21        -0.48   2.82    4.74    -1.38       1126
T5  0.95    0.52    0.03    0.55        -0.49   2.87    4.44    -1.37       1258


tabela para classificação da rede neurais

AMOSTRA     x1          x2          x3          y(T1)   y(T2)   y(T3)   y(T4)   y(T5)
    1	    -0.3665	    0.0620	    5.9891	    -1	    -1  	-1  	-1	    -1
    2	    -0.7842	    1.1267	    5.5912	    1	    1   	1   	1   	1
    3	    0.3012	    0.5611	    5.8234	    1	    1   	1   	1   	1
    4	    0.7757	    1.0648  	8.0677	    1	    1   	1   	1   	1
    5	    0.1570	    0.8028	    6.3040	    1	    1   	1   	1   	1
    6	    -0.7014	    1.0316	    3.6005	    1	    1   	1   	1   	1
    7	    0.3748	    0.1536	    6.1537	    -1	    -1  	-1  	-1	    -1
    8	    -0.6920	    0.9404	    4.4058	    1	    1   	1   	1   	1
    9	    -1.3970	    0.7141	    4.9263	    -1	    -1  	-1  	-1	    -1
    10	    -1.8842	    -0.2805	    1.2548	    -1	    -1  	-1  	-1	    -1
